application_number,family_name,first_name,middle_name,sex,strand,course,general_ability,verbal_aptitude,numerical_aptitude,spatial_aptitude,perceptual_aptitude,manual_dexterity,date_taken
APP-1021,Jones,Susan,Rose,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Garcia,Charles,Rose,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Brown,Joseph,Faith,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Martin,William,Rose,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Lopez,Thomas,Marie,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Wilson,Thomas,Hope,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Jackson,Richard,Hope,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Brown,Robert,Scott,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Davis,Thomas,Jean,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Hernandez,John,Dean,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Hernandez,Charles,Ray,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Brown,Joseph,Alan,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Martinez,Richard,Marie,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Martin,James,Ivy,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Anderson,John,Ann,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Brown,Richard,Lee,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Lopez,Jennifer,Lee,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Taylor,James,Hope,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Martin,John,James,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Hernandez,Robert,Faith,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Martin,Joseph,Alan,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Moore,James,James,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Lopez,Michael,James,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Martin,Mary,James,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Williams,Elizabeth,Lee,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Williams,Linda,Ivy,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Moore,Barbara,Ray,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Wilson,Elizabeth,Ann,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Johnson,Michael,Ann,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Johnson,Mary,Jean,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Garcia,David,Lee,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Thomas,Mary,Dean,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Moore,James,Ray,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Garcia,Robert,James,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Johnson,Patricia,Lee,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Martinez,Elizabeth,Jay,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Miller,Susan,Alan,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Thomas,Charles,Dean,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Lopez,John,Scott,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Smith,Richard,Kate,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Martin,Linda,Rose,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Gonzalez,Charles,Lee,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Thomas,Linda,Marie,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Wilson,Robert,Claire,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Moore,Richard,Ivy,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Hernandez,Thomas,Kate,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Williams,Richard,Dean,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Taylor,David,Grace,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Jones,James,Ann,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Brown,Charles,Jay,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Garcia,Karen,Paul,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Jackson,Robert,Ray,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Smith,Karen,Kate,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Smith,Robert,Jay,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Hernandez,Charles,Louise,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Smith,David,Jay,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Anderson,Charles,Jay,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Rodriguez,David,James,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Jones,Jessica,Marie,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Rodriguez,Linda,Ivy,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Jones,Jennifer,Ann,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Davis,Robert,Lee,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Brown,Linda,Ann,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Hernandez,Richard,Ann,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Johnson,Michael,Louise,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Anderson,Mary,Jean,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Anderson,Linda,Scott,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Jones,Karen,Marie,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Davis,Karen,Marie,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Smith,Patricia,Ray,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Thomas,Barbara,Kate,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Hernandez,Patricia,Rose,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Wilson,Sarah,Grace,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Williams,Thomas,Dean,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Taylor,Sarah,Kate,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Taylor,Susan,Ann,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Wilson,Sarah,Claire,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Miller,Elizabeth,Scott,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Martinez,Joseph,James,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Gonzalez,Karen,Jean,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Miller,Patricia,James,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Taylor,John,Ann,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Thomas,Karen,Jay,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Garcia,Joseph,Ann,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Rodriguez,Mary,Faith,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Rodriguez,Susan,Lee,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Jones,James,Hope,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Lopez,Barbara,Jean,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Williams,John,Louise,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Wilson,Karen,James,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Jones,Elizabeth,Paul,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Wilson,Patricia,James,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Wilson,Jessica,Lee,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Miller,Charles,Paul,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Hernandez,Jennifer,Faith,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Martin,David,Paul,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Jones,Michael,Jay,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Rodriguez,Joseph,Ivy,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Garcia,Karen,Grace,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Davis,Patricia,Claire,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Williams,Susan,James,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Davis,Susan,Ann,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Gonzalez,Elizabeth,Paul,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Miller,David,Louise,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Gonzalez,Charles,Dean,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Brown,William,Kate,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Johnson,David,James,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Brown,Jennifer,Ivy,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Lopez,David,Jean,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Jones,Susan,Louise,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Brown,Michael,Jean,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Williams,Susan,Hope,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Moore,Robert,James,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Thomas,Susan,Claire,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Moore,Susan,Scott,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Garcia,Michael,Scott,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Smith,James,Hope,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Lopez,John,Marie,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Thomas,Susan,Louise,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Johnson,Robert,Hope,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Brown,Charles,Ann,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Taylor,Richard,Mae,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Johnson,Robert,Rose,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Taylor,Sarah,Jean,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Davis,Jessica,Mae,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Brown,Joseph,Claire,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Rodriguez,Thomas,Alan,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Garcia,Charles,Dean,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Williams,Mary,Marie,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Lopez,Mary,Faith,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Hernandez,William,Kate,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Brown,Mary,Ray,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Rodriguez,Sarah,Claire,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Thomas,Patricia,Jean,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Martinez,Robert,Alan,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Hernandez,James,Marie,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Jones,William,Marie,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Smith,Michael,Faith,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Anderson,Richard,Grace,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Williams,Robert,Mae,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Rodriguez,Thomas,Kate,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Lopez,Susan,Faith,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Hernandez,William,Claire,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Brown,Sarah,Jean,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Hernandez,William,Louise,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Johnson,John,Louise,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Rodriguez,Barbara,James,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Rodriguez,Robert,Rose,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Taylor,David,Hope,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Martin,Thomas,Scott,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Taylor,Linda,Rose,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Jones,Susan,Ray,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Brown,Michael,Paul,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Martinez,Susan,Ray,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Martinez,John,Grace,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Jones,Robert,Lee,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Hernandez,Linda,Lee,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Hernandez,Patricia,Jay,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Taylor,Susan,Marie,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Jones,Karen,Marie,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Lopez,Karen,Jean,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Hernandez,Susan,Alan,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Davis,Charles,Ray,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Thomas,William,Grace,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Rodriguez,Elizabeth,Marie,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Lopez,Linda,Ivy,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Lopez,Michael,Hope,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Thomas,William,Grace,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Miller,Richard,Grace,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Taylor,Patricia,Marie,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Garcia,Richard,Alan,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Jones,Robert,Ann,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Johnson,Linda,Grace,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Anderson,Michael,Paul,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Moore,Barbara,Louise,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Anderson,Charles,Hope,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Gonzalez,Thomas,Ann,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Jackson,William,Lee,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Gonzalez,John,Jean,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Gonzalez,Jennifer,Jean,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Anderson,David,Marie,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Jackson,Susan,Marie,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
